topic,agency,evidence,form,step,source_url
ค่าจ้างขั้นต่ำ,กรมสวัสดิการและคุ้มครองแรงงาน,สัญญาจ้าง/สลิปเงินเดือน,แบบคำร้อง,ยื่นคำร้อง,https://www.labour.go.th
ค่าจ้างล่วงเวลา,กรมสวัสดิการและคุ้มครองแรงงาน,สลิปเงินเดือน/เวลาทำงาน,แบบคำร้อง,รวบรวมหลักฐานและยื่นคำร้อง,https://www.labour.go.th
ค่าจ้างในวันหยุด,กรมสวัสดิการและคุ้มครองแรงงาน,ตารางงาน/สลิปเงินเดือน,แบบคำร้อง,ตรวจสิทธิและยื่นคำร้อง,https://www.labour.go.th
วันทำงาน,กรมสวัสดิการและคุ้มครองแรงงาน,ตารางเวลาทำงาน,แบบคำร้อง,ตรวจสอบเวลาทำงาน,https://www.labour.go.th
เวลาพัก,กรมสวัสดิการและคุ้มครองแรงงาน,ตารางเวลาพัก,แบบคำร้อง,ยื่นคำร้อง,https://www.labour.go.th
วันหยุดประจำสัปดาห์,กรมสวัสดิการและคุ้มครองแรงงาน,ตารางงาน,แบบคำร้อง,ยื่นคำร้อง,https://www.labour.go.th
วันหยุดตามประเพณี,กรมสวัสดิการและคุ้มครองแรงงาน,ประกาศวันหยุด,แบบคำร้อง,ตรวจสิทธิ,https://www.labour.go.th
วันหยุดพักผ่อนประจำปี,กรมสวัสดิการและคุ้มครองแรงงาน,ประวัติการลา,แบบคำร้อง,ยื่นคำร้อง,https://www.labour.go.th
ลาป่วย,กรมสวัสดิการและคุ้มครองแรงงาน,ใบรับรองแพทย์,แบบคำร้อง,แจ้งนายจ้าง,https://www.labour.go.th
ลากิจ,กรมสวัสดิการและคุ้มครองแรงงาน,หลักฐานเหตุจำเป็น,แบบคำร้อง,ยื่นคำขอ,https://www.labour.go.th
ลาคลอด,กรมสวัสดิการและคุ้มครองแรงงาน,ใบรับรองแพทย์,แบบคำร้อง,แจ้งนายจ้าง,https://www.labour.go.th
ลาเพื่อทำหมัน,กรมสวัสดิการและคุ้มครองแรงงาน,ใบรับรองแพทย์,แบบคำร้อง,ยื่นคำขอ,https://www.labour.go.th
ลาเพื่อฝึกอบรม,กรมสวัสดิการและคุ้มครองแรงงาน,หนังสืออบรม,แบบคำร้อง,แจ้งนายจ้าง,https://www.labour.go.th
การเลิกจ้าง,กรมสวัสดิการและคุ้มครองแรงงาน,หนังสือเลิกจ้าง,แบบคำร้อง,ตรวจเหตุเลิกจ้าง,https://www.labour.go.th
ค่าชดเชย,กรมสวัสดิการและคุ้มครองแรงงาน,อายุงาน/หนังสือเลิกจ้าง,แบบคำร้อง,คำนวณและยื่นคำร้อง,https://www.labour.go.th
ค่าชดเชยพิเศษ,กรมสวัสดิการและคุ้มครองแรงงาน,ประกาศย้ายสถานประกอบการ,แบบคำร้อง,ยื่นคำร้อง,https://www.labour.go.th
สินจ้างแทนการบอกกล่าวล่วงหน้า,กรมสวัสดิการและคุ้มครองแรงงาน,หนังสือเลิกจ้าง,แบบคำร้อง,คำนวณสิทธิ,https://www.labour.go.th
การทดลองงาน,กรมสวัสดิการและคุ้มครองแรงงาน,สัญญาจ้าง,แบบคำร้อง,ตรวจเงื่อนไข,https://www.labour.go.th
สัญญาจ้าง,กรมสวัสดิการและคุ้มครองแรงงาน,สัญญาจ้าง,แบบคำร้อง,ตรวจข้อความ,https://www.labour.go.th
ทะเบียนลูกจ้าง,กรมสวัสดิการและคุ้มครองแรงงาน,ทะเบียนลูกจ้าง,แบบคำร้อง,ขอตรวจสอบ,https://www.labour.go.th
ข้อบังคับการทำงาน,กรมสวัสดิการและคุ้มครองแรงงาน,ข้อบังคับบริษัท,แบบคำร้อง,ตรวจสอบประกาศ,https://www.labour.go.th
ความปลอดภัยในการทำงาน,กรมสวัสดิการและคุ้มครองแรงงาน,รายงานอุบัติเหตุ,แบบคำร้อง,แจ้งเหตุ,https://www.labour.go.th
อุบัติเหตุจากการทำงาน,กองทุนเงินทดแทน,ใบรับรองแพทย์/รายงานเหตุ,แบบคำร้อง,แจ้งกองทุน,https://www.sso.go.th
กองทุนเงินทดแทน,กองทุนเงินทดแทน,เอกสารนายจ้าง/ลูกจ้าง,แบบคำร้อง,ยื่นคำขอ,https://www.sso.go.th
ประกันสังคม,สำนักงานประกันสังคม,บัตรประกันสังคม,แบบคำร้อง,ติดต่อสำนักงาน,https://www.sso.go.th
สิทธิประโยชน์กรณีเจ็บป่วย,สำนักงานประกันสังคม,ใบรับรองแพทย์,แบบคำขอ,ยื่นคำขอ,https://www.sso.go.th
สิทธิประโยชน์กรณีว่างงาน,สำนักงานประกันสังคม,หนังสือเลิกจ้าง,แบบคำขอ,ขึ้นทะเบียนว่างงาน,https://www.sso.go.th
สิทธิประโยชน์กรณีคลอดบุตร,สำนักงานประกันสังคม,สูติบัตร/ใบรับรองแพทย์,แบบคำขอ,ยื่นคำขอ,https://www.sso.go.th
การร้องเรียนแรงงาน,กรมสวัสดิการและคุ้มครองแรงงาน,หลักฐานการจ้างงาน,แบบคำร้อง,ยื่นเรื่องร้องเรียน,https://www.labour.go.th
การตรวจแรงงาน,กรมสวัสดิการและคุ้มครองแรงงาน,เอกสารสถานประกอบการ,แบบคำร้อง,ขอตรวจสอบ,https://www.labour.go.th
